"Compound_name","Outcome","SMR","LabuteASA","NumLipinskiHBA","NumHBD","NumAmideBonds","NumAtoms","NumAromaticRings","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","kappa2","kappa3","slogp_VSA12","smr_VSA1","smr_VSA2","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA13","MQN2","MQN8","MQN10","MQN11","MQN13","MQN14","MQN17","MQN23","MQN26","MQN27","MQN28","MQN30","MQN36","MQN42"
"ETHIONAMIDE","0.0",49.502400000000016,71.4445483878509,2,1,0,21,1,0,0,0,1.6990242664008612,0.9517648827064852,3.4846238762214785,2.2536583124174543,1.4633220060053451,0.8247979358636289,3.436571191990665,1.9806971480307827,12.217873443046695,0,0,0,0,19.14161064273732,0,0,1,0,0,4,1,3,1,3,1,1,4,1,0
"CEFDITOREN PIVOXIL","0.0",154.51209999999978,247.3603332806088,13,2,2,69,2,0,0,0,8.723181990090193,6.291072699193442,12.157257253948371,9.795032393848736,5.850868730095893,3.7305191607580035,12.401952455781126,6.598935158631783,34.43545670526059,33.489463227624015,0,0,34.43545670526059,11.23173283358442,11.814359458703011,0,3,7,0,19,6,6,2,10,8,4,8,1,1
"TICRYNAFEN","0.0",77.34430000000002,128.06104257471614,4,1,0,28,2,1,0,0,4.120805070551934,2.6377290665606825,5.412024041054974,3.7280629542919854,2.3876181979890916,1.4985615266392145,6.260108968202026,3.1203907281056225,34.538665658399765,19.4324647167844,0,0,11.336785877934737,29.26824684892664,0,0,0,4,0,8,2,5,1,5,2,2,6,1,0
"QUINETHAZONE","0.0",67.99310000000001,109.55051970712348,6,3,1,30,1,1,0,0,4.042087528120029,2.8417414779440873,5.263671999916614,3.951856500953433,2.6665100274820825,1.7426180351381928,4.415914170468824,2.2878107291522722,11.600939890232516,13.212334168400758,0,0,0,18.524677089923138,5.907179729351506,0,1,3,0,5,3,3,3,6,1,0,4,2,1
"CLARITHROMYCIN","0.0",191.04819999999933,310.2792452855394,14,4,0,121,0,0,0,0,12.268825799537492,8.584995247874588,18.88288310371276,16.63147085272378,12.268825799537492,8.584995247874588,17.659166368284723,9.37792232192957,0,63.17322462410681,0,0,0,27.694948798762496,0,0,1,10,3,26,2,0,4,20,5,1,6,2,0
"paroxetine","1.0",88.17770000000006,140.0874630943337,4,1,0,44,2,2,0,0,4.7139481903526,3.4167809845682955,8.280641273249634,6.236995097747859,4.7139481903526,3.4167809845682955,6.690274020416143,3.1696483131854296,0,18.60100390907497,0,0,0,12.13273413692322,0,1,0,1,2,5,0,6,1,1,2,0,14,3,1
"THIOPROPAZATE","1.0",123.15300000000005,187.4721428692729,5,0,0,58,2,2,0,0,6.986925722070487,5.293218653456879,10.520346050547188,7.710349667818023,5.621560240448823,4.050768277052844,10.051514259868206,5.2980582187565854,23.36282483962363,9.53140013787187,0,0,0,35.49555897654685,0,0,0,2,0,10,1,6,0,3,6,1,12,4,2
"MESUXIMIDE","1.0",56.18800000000003,88.69810252263828,3,0,2,28,1,1,0,0,3.0664661651860183,2.011593132778084,4.920465865173287,4.132816982274408,3.0664661651860183,2.011593132778084,3.1903000822450003,1.348919005102041,0,9.589074368143644,0,0,0,30.33183534230805,0,0,0,2,0,3,2,3,0,4,0,0,6,1,0
"METHYLPHENOBARBITAL","1.0",64.71970000000003,104.77442892068673,5,1,4,32,1,1,0,0,3.379364082053162,2.256455765792334,5.728143400998492,4.24835514869147,3.379364082053162,2.256455765792334,4.251446310033037,1.5098740178285945,0,14.383611552215466,0,0,0,37.255572541998674,5.907179729351506,0,0,3,0,4,3,3,1,5,1,0,6,2,0
"REBAMIPIDE","0.0",98.61470000000003,152.98150675864622,6,3,1,41,3,2,0,0,4.222056730810934,2.834648639501774,7.84018116362232,5.7797129355594326,3.97008041547145,2.7086604818320317,7.409747989396089,3.9202741239988472,11.600939890232516,14.69560176298435,0,0,0,29.800041095617345,5.907179729351506,0,1,4,0,8,3,8,3,5,2,3,10,3,1
"NEOSTIGMINE","0.0",65.71900000000005,96.62576196242932,4,0,1,35,1,1,0,0,2.1625254988908393,1.1563625450310686,5.117021213741461,4.772213436370707,2.1625254988908393,1.1563625450310686,4.531128661548242,3.2385278346833593,0,9.53140013787187,0,0,0,6.06636706846161,0,0,2,2,0,9,1,3,0,6,1,2,4,1,0
"fimasartan","0.0",145.98669999999981,215.95497541666353,8,1,0,67,4,2,0,0,6.757546733284644,4.280335832529161,12.101402245025614,9.029705588198325,6.2480607943171265,4.135998265231754,11.344567617839699,5.568150827307798,12.217873443046695,0,0,5.213385095654868,10.197363616602075,74.09336881335622,5.559266895052008,0,1,1,0,14,2,11,1,6,5,2,13,3,0
"naratriptan","1.0",94.32120000000006,137.67134769451317,5,2,0,48,2,1,0,0,6.270607654649899,4.065052877334474,8.179910987711736,6.474498848906533,4.907017562924556,3.356497732424394,6.628798902868981,3.761443231949283,0,8.417796984328938,0,0,0,6.06636706846161,0,0,1,2,0,7,2,5,2,4,3,0,9,2,1
"GLYCOPYRROLATE","0.0",88.63620000000006,138.20309453813982,4,1,0,51,1,1,1,1,5.499077048415928,4.120771013426482,8.726791970616176,7.771691908625966,5.499077048415928,4.120771013426482,6.250132607601729,3.2855836764607798,0,19.1209583904072,0,0,0,43.173478588160066,0,0,0,3,0,8,1,3,1,4,1,1,12,1,0
"iguratimod","0.0",97.15320000000003,148.00195259932403,8,2,1,40,3,2,0,0,3.946272282042344,2.857390655180204,7.376341280839725,5.374559383517108,3.3555682673300233,2.2984012773037845,6.885223536090762,3.8343095676569683,0,22.366348059254154,0,0,0,18.19910120538483,0,0,2,5,1,7,4,8,2,5,4,0,9,3,1
"bambuterol","0.0",98.57950000000005,154.22460642756835,8,2,2,55,1,1,0,0,3.253503139983654,1.8089012951073615,8.251539361859368,7.409242738054261,3.253503139983654,1.8089012951073615,8.863462841680537,7.283005791389329,0,24.169327670584444,0,0,0,0,0,0,3,5,0,18,2,3,2,10,4,5,3,1,0
"ETHYLESTRENOL","0.0",86.94380000000005,129.75445730725994,1,1,0,53,0,0,3,4,8.284267667842808,6.994399715416034,9.502193997413375,8.669268410652277,8.284267667842808,6.994399715416034,4.84692990170901,1.8537925503635908,0,5.106527394840706,0,0,0,25.496599036284394,0,0,0,1,0,4,0,1,1,3,1,0,10,3,3
"FLOCTAFENINE","0.0",99.8448,163.12452363655512,6,3,0,46,3,2,0,0,4.110311859246824,2.731347359789272,8.579974731735446,6.163455190292521,4.110311859246824,2.731347359789272,8.457968130553803,4.636895635481491,0,32.91570007057774,0,13.171245143024459,0,24.26546827384644,0,3,1,4,0,13,1,8,3,6,4,2,10,3,1
"PIRMENOL","0.0",102.39280000000008,151.2707448337404,3,1,0,55,2,1,0,0,5.670980236896255,4.174550983274375,9.562147277776303,7.41160352607048,5.670980236896255,4.174550983274375,8.112562854303343,4.103321393608435,0,5.106527394840706,0,0,0,42.81902403369567,0,0,0,1,0,9,0,6,1,3,3,0,13,3,0
"METOLAZONE","0.0",93.89840000000002,144.8175853997828,6,2,1,40,2,2,0,0,5.330041933890189,3.913898868980195,7.219754817297764,5.655175588176432,3.9544644332522436,2.814775426174299,5.767518337625222,2.7469333598937364,11.600939890232516,13.212334168400758,0,0,0,29.800041095617345,5.907179729351506,0,1,3,0,6,3,6,2,7,0,0,7,3,1
"DOXYCYCLINE","0.0",108.61710000000002,182.48612823324595,10,5,1,56,1,1,1,3,7.138259277788979,5.717741452718446,10.11224355980966,8.940437568779071,7.138259277788979,5.717741452718446,6.959303198936326,2.507985833110168,0,39.60425831565011,0,0,0,19.056471336613843,0,0,2,8,0,10,4,4,5,12,0,2,3,4,3
"propranolol","0.0",78.58850000000005,113.76036150292279,3,2,0,40,2,2,0,0,2.9425786417040287,1.938193267581223,6.6857910191148875,5.005061210895828,2.9425786417040287,1.938193267581223,6.547124220490315,3.9447395719001546,0,9.843390348640755,0,0,0,50.245676810150904,0,0,1,2,0,9,0,5,2,3,4,2,7,2,1
"CIMETIDINE","0.0",69.59710000000001,104.92554288214419,6,3,0,33,1,0,0,0,3.1024681299446906,2.0705082322824624,5.1993650634680435,3.2548795916956643,2.116869570291202,1.183426256772223,7.570081043458362,4.7817848631942805,11.761884949391115,0,5.261891554738487,17.0237765041296,0,0,0,0,4,0,0,10,1,2,3,3,8,1,3,0,0
"NIFURTIMOX","0.0",67.77820000000003,109.31322019700906,8,0,0,32,1,0,0,0,4.55600866284326,3.3411587919802175,5.625269904689334,4.304135904168789,2.7611536898753135,1.8021934799022465,4.9985171770536905,3.3093547419898477,0,17.758258970199954,0,5.101407525739723,0,0,0,0,2,4,1,5,4,2,0,5,2,1,6,1,0
"ALCLOFENAC","0.0",58.48380000000002,92.93907796792409,3,1,0,26,1,1,0,0,2.0036981102270834,1.3523800708952491,4.3711496931401275,2.934968865618985,1.7083285450100452,1.0946857656854627,5.413038093450929,3.6364379535071216,11.600939890232516,14.637927532712578,0,0,0,30.322262749126505,0,0,0,3,0,7,2,3,1,4,4,1,3,1,0
"Galantamine","1.0",79.80280000000005,124.51982776650081,4,1,0,42,1,1,0,1,5.146699348250688,4.077317248572896,7.568370759097563,6.4278803331150645,5.146699348250688,4.077317248572896,4.485569614461171,1.7548240767209549,0,14.580253302440804,0,0,0,18.218407282129373,0,0,0,2,1,4,0,4,1,3,1,0,9,2,4
"aprepitant","1.0",114.4454,204.74834340872178,7,2,0,58,3,2,0,0,5.844079414047737,4.073388992535313,11.00565500874704,8.447996418865937,5.844079414047737,4.073388992535313,10.262970547743883,6.373734780071109,0,40.20663124132384,0,31.44117209434996,0,12.13273413692322,0,7,0,2,1,16,1,8,2,9,2,1,13,3,0
"irsogladine","0.0",64.1078,101.43375511618927,5,2,0,23,2,1,0,0,2.4039978472567767,1.5728418838326936,4.284989400411313,2.9995829966651923,1.8393125234289942,1.1986748830131058,4.112336342245376,2.1504284607073987,23.20187978046503,0,0,14.951935562841626,0,23.20187978046503,0,0,2,0,0,5,0,6,2,4,0,0,6,2,0
"RIFABUTIN","0.0",226.7647999999993,357.4793708970482,15,5,1,123,1,1,0,1,12.96620542220262,9.273280346518884,21.252381525683614,18.02230277541729,12.96620542220262,9.273280346518884,17.504165990091828,8.536418080692114,0,53.44518273600959,0,0,0,59.77048351864538,11.690424675716445,0,0,9,2,19,4,8,5,18,3,2,14,3,8
"RIBOFLAVIN","0.0",95.6209,152.292324157461,10,5,0,47,1,1,0,0,4.569542931620766,2.894216604089899,8.294805064212543,6.4987457761144585,4.569542931620766,2.894216604089899,7.158061106278342,3.4706544201766683,0,20.426109579362823,0,4.9839785209472085,0,0,5.559266895052008,0,0,6,0,11,2,7,5,8,2,3,5,3,2
"LIOTHYRONINE","0.0",112.089,173.5722635628371,5,3,0,35,2,2,0,0,5.43656090506845,4.441957736401999,6.403077299786714,4.75272432583018,2.969940976541349,1.8379412510362285,8.160013239239413,5.063965411826361,67.77261188120417,19.744454927553285,0,0,0,0,0,0,1,4,0,11,1,6,3,7,2,2,5,2,0
"DISULFIRAM","0.0",86.22000000000006,117.90714002929566,2,0,0,36,0,0,0,0,5.9590137618538765,4.199059082202097,5.5237150319078925,3.043061896604429,2.227524150188551,1.140309120830211,9.503950075898128,5.702690372404801,46.023542838866845,0,0,0,0,24.43574688609339,0,0,2,0,0,13,2,0,0,6,6,4,0,0,0
"pelubiprofen","0.0",73.94480000000004,112.50266803003312,3,1,0,37,1,1,1,1,3.6058998629947054,2.2783195838764283,6.642379882015186,5.026451262662503,3.6058998629947054,2.2783195838764283,5.826829732861384,3.3093547419898477,0,14.69560176298435,0,0,0,24.26546827384644,0,0,0,3,0,5,3,3,1,4,1,2,8,2,0
"AMPICILLIN","0.0",89.02890000000004,143.1206585849213,7,3,2,43,1,1,0,0,5.985380645859342,4.825598407769134,7.575211293076025,6.4727596598383155,4.413850051011859,3.2002018181598064,5.784053910830547,2.5522148388756962,11.761884949391115,19.49013894705617,0,0,11.761884949391115,30.33183534230805,0,0,2,4,0,9,3,3,3,7,1,3,6,1,1
"ETHACRYNIC acid","0.0",73.35430000000002,120.13375052364276,4,1,0,31,1,1,0,0,3.255098801184865,1.770375922647777,5.431069396539142,3.7078683152851486,2.39054159549662,1.3090815540676874,6.589861591695502,3.7193273675436243,23.20187978046503,19.4324647167844,0,0,0,36.70455266375415,0,0,0,4,0,10,3,3,1,7,3,3,2,1,0
"imrecoxib","0.0",104.41580000000003,154.62429632145071,4,0,1,49,2,2,0,0,5.744996344574284,3.8667766348528625,8.709286825916372,6.74282952527765,4.616526117347595,3.2363061221667784,7.076871862331877,3.580034057710635,0,13.212334168400758,0,0,0,48.88539110215728,5.907179729351506,0,0,3,0,8,3,7,0,6,2,0,9,2,0
"ATAZANAVIR","0.0",193.87659999999943,300.02585495115557,13,5,4,103,3,2,0,0,8.205934810718176,5.3795451057587576,16.785696939122257,14.51054448006219,8.205934810718176,5.3795451057587576,18.291597116963185,12.676170892886663,0,33.758402038728086,0,0,0,102.20609388275987,5.907179729351506,0,5,7,0,31,4,9,5,13,9,9,14,3,0
"progestogen","0.0",87.31880000000004,137.61895605658822,3,1,0,48,0,0,2,4,7.425384048786637,6.063792883577491,9.034295318118392,8.213959096851797,7.425384048786637,6.063792883577491,5.046485052545659,2.006321787306878,0,9.901064578912528,5.261891554738487,5.261891554738487,0,12.496841729759891,0,0,1,2,0,4,1,2,1,4,2,0,9,3,3
"IVERMECTIN","0.0",227.3993999999991,367.771975852729,14,3,0,136,0,0,0,1,14.93054710475842,10.9572477633356,23.166155090007287,19.35233439895771,14.93054710475842,10.9572477633356,19.816415198594797,9.734727407957774,0,67.48274890659442,0,0,0,64.49587095585791,0,0,0,8,6,21,1,4,3,14,5,1,19,5,5
"telaprevir","0.0",180.5892999999995,288.4539371328626,13,4,5,102,1,0,3,3,10.674492678960847,7.868294440273784,18.21415957607594,15.499612158817907,10.674492678960847,7.868294440273784,15.758780280893586,8.82721153813577,0,28.76722310443093,0,0,0,59.79905691339253,11.814359458703011,0,4,6,0,23,6,3,4,10,6,9,16,2,1
"VORICONAZOLE","0.0",80.68180000000002,140.56237734998655,6,1,0,39,3,1,0,0,4.089727485281649,2.7241958121180225,7.372743234540692,5.619090216597149,4.089727485281649,2.7241958121180225,6.5951765875062565,3.2249817480260945,0,18.277772537865165,0,5.098681808301038,0,12.990104268152233,0,3,0,1,0,10,0,8,1,5,1,1,11,2,0
"lapatinib","0.0",154.1241999999997,235.65015567569458,8,2,0,66,5,3,0,0,7.249420413511959,4.777163731713353,12.395212290053266,9.215612699911487,6.008345079265793,4.026938249729609,12.033712839100877,7.14680707641382,11.600939890232516,21.962225922857154,0,0,0,23.733674027155736,0,1,2,3,1,14,2,14,2,5,7,0,16,4,1
"IMIPRAMINE","1.0",90.46900000000007,127.55692831321477,2,0,0,45,2,2,0,0,4.215547540145039,3.1561689443320082,7.83590363809935,6.065891941848764,4.215547540145039,3.1561689443320082,6.314843310189529,3.108345481049562,0,0,0,0,0,36.39820241076966,0,0,1,0,0,6,0,6,0,2,3,1,10,2,2
"pilsicainide","0.0",81.93470000000005,120.9053220246564,3,1,1,44,1,1,0,0,5.046308373645609,4.008007658537595,7.718416973244975,6.410258446832874,5.046308373645609,4.008007658537595,5.208494713507499,2.350784995871097,0,4.794537184071822,0,0,0,18.19910120538483,0,0,1,1,0,6,1,3,1,3,2,1,9,1,1
"CHLOROTRIANISENE","0.0",110.75100000000002,164.3246009868261,3,0,0,48,3,3,0,0,4.7275436366276065,3.161373578005505,8.490201158729754,5.874486857171397,4.3203435098869996,2.81716753009977,8.6505077697063,4.261780012026584,11.600939890232516,14.210588861400147,0,0,0,35.866408164078955,0,0,0,3,0,10,1,9,0,4,3,2,12,3,0
"ETHINYL ESTRADIOL","0.0",86.50660000000003,132.1107921567131,2,2,0,46,1,1,2,3,7.10047436372019,5.821907213476906,8.503344580835059,7.7980613966887375,7.10047436372019,5.821907213476906,4.521896298442718,1.664422092346401,0,10.213054789681411,0,0,6.423349895620259,18.910538587007878,0,0,0,2,0,4,0,3,2,4,1,0,9,3,3
"dabrafenib","0.0",128.8129,203.50889639034102,7,2,0,55,4,2,0,0,7.78116212646452,5.53179305248942,10.2417269765075,8.570226607286958,4.861436867417773,3.2260491355090255,8.930450213513243,4.842300406739031,11.336785877934737,21.589042127353395,0,0,11.336785877934737,32.903945735995094,10.023291153407584,3,2,2,0,13,2,11,2,9,1,0,12,3,0
"exemestane","0.0",86.14600000000003,131.90406169078295,2,0,0,46,0,0,3,4,7.240132763036511,5.979459159565711,8.529257531797427,8.178918861086878,7.240132763036511,5.979459159565711,4.305387329379492,1.6133092239891278,0,9.589074368143644,0,0,0,32.075534719882896,0,0,0,2,0,2,3,2,0,5,0,0,8,3,3
"Sulpiride","1.0",86.96940000000005,136.3954807683271,7,2,1,46,1,1,0,0,5.058598273781707,3.429711912182789,7.5955013660894775,5.541765896369493,4.147598673660335,2.88987444238919,7.287380626786722,4.2132847582854405,0,17.949197122200808,0,0,0,6.923737199690624,5.907179729351506,0,2,4,0,10,3,3,2,6,4,1,6,1,0
"FOSINOPRIL","0.0",150.63329999999976,232.82034589772215,8,1,1,85,1,1,1,1,10.407104420979268,8.101698199514042,14.636879604135876,11.494203648689538,8.065182914612677,5.799269985410006,14.9932481242442,9.45707933046869,7.368827530443599,33.31579734749937,0,0,0,83.20715505601,0,0,0,7,0,20,4,3,1,8,8,5,12,2,0
"CYCLOBENZAPRINE","0.0",91.31400000000005,126.09322766085523,1,0,0,42,2,2,0,1,3.830378282617748,2.719497278074934,7.466979458833934,5.756259704932071,3.830378282617748,2.719497278074934,6.108267125022063,3.1423066896072647,0,0,0,0,0,54.60695665452676,0,0,1,0,0,5,1,8,0,2,3,1,10,2,2
"gestrinone","0.0",90.44480000000003,137.90094084919113,2,1,0,47,0,0,1,4,6.935470969890275,5.748110297051705,8.906493866892912,7.591985573080751,6.935470969890275,5.748110297051705,4.950866386148236,1.8343085355514355,0,9.901064578912528,0,0,6.423349895620259,24.99621173221403,0,0,0,2,0,4,1,3,1,4,2,0,9,3,3
"LYSURIDE","1.0",101.63840000000005,148.23131972982162,5,2,2,51,2,1,0,1,5.627747886502611,4.303984925816223,9.18681620233733,7.051825951008874,5.627747886502611,4.303984925816223,6.225343740043837,2.62838106407282,0,4.794537184071822,0,0,0,18.208754243757102,0,0,2,1,0,8,1,6,2,4,3,2,8,3,4
"BENZOCAINE","0.0",46.81090000000002,71.14118748925014,3,1,0,23,1,1,0,0,1.4218177789634643,0.8336300246081276,3.7640725458859556,2.3424786483856304,1.4218177789634643,0.8336300246081276,3.7588733548338538,1.985036469518851,0,9.53140013787187,0,0,0,0,0,0,1,2,0,5,1,3,1,3,2,1,4,1,0
"TIMOLOL","0.0",82.19850000000004,129.13279449954697,7,2,0,45,1,0,0,0,3.535449742992379,2.413376358959236,7.166822707238256,6.088132381806425,3.033390983629013,1.8931367330481799,7.347621671258034,5.385438987782126,11.728187345198613,14.580253302440804,0,4.3735399814164495,4.3735399814164495,0,5.879988336435371,0,1,2,1,11,0,2,2,4,4,1,8,1,0
"NABUMETONE","0.0",69.50200000000004,101.21284555276587,2,0,0,33,2,2,0,0,2.877557364020032,1.8761326456173364,5.749671105539444,4.249448536331695,2.877557364020032,1.8761326456173364,5.000460648830569,2.842966419126076,0,9.53140013787187,0,0,0,24.26546827384644,0,0,0,2,0,6,1,5,0,3,3,1,6,2,1
"ISOXSUPRINE","0.0",87.06330000000004,130.93002492944763,4,3,0,45,2,2,0,0,3.4988308939020762,2.2861621214231507,7.46896334085365,5.51681566822203,3.4988308939020762,2.2861621214231507,7.8230600428570565,4.755362428127063,0,14.94991774348146,0,0,0,30.33183534230805,0,0,1,3,0,11,0,6,3,4,3,3,9,2,0
"SILDENAFIL","0.0",125.98550000000007,192.7807339433561,10,1,0,63,3,1,0,0,7.766478023729121,5.558900166500184,11.17652136020513,8.23281031611341,5.871841157132714,4.109950512947365,9.23862824049657,4.397669312114403,0,13.154659938128987,0,14.38787632054448,0,13.344558822616634,5.559266895052008,0,0,4,0,11,3,8,1,7,4,0,10,3,1
"CYCLOTHIAZIDE","0.0",89.40140000000001,144.9082766178385,7,3,0,40,1,1,1,2,7.838262531587178,6.4655766618050325,7.48543423535359,6.511188670915493,4.981655625114133,3.9164983297451426,5.183065702402646,2.5477201783849344,11.600939890232516,16.835593968657875,0,4.722094864452088,0,23.752980103900278,0,0,1,4,0,4,4,4,3,6,0,0,8,2,3
"cefadroxil","0.0",90.39370000000004,147.22528930493306,8,4,2,42,1,1,0,0,5.618067986980746,4.144160892511423,7.535663712118311,5.899359217700863,4.193883292538199,2.8514049892614297,6.413498790959592,2.9595421484607383,11.761884949391115,24.596666341896878,0,0,11.761884949391115,12.13273413692322,5.907179729351506,0,2,5,0,9,3,4,4,7,1,3,6,2,1
"GLICLAZIDE","0.0",82.43620000000004,130.45621189212125,6,2,2,43,1,1,1,1,5.891184533394085,4.293093202837806,7.589461799047488,6.215524839992821,4.544292421330978,3.391138358931194,5.887683316002724,3.2502415458937195,0,13.212334168400758,0,0,0,24.117007251546227,10.023291153407584,0,2,3,0,6,3,3,2,4,2,1,9,1,1
"AMLODIPINE","0.0",105.25710000000005,169.01225449926235,7,2,0,53,1,1,0,0,4.691572635549457,3.461347727622221,8.94619398462878,6.116818677949481,4.347366587643724,3.20806580064815,10.148622352002045,4.660700398130407,11.600939890232516,23.79966322954379,0,0,0,29.800041095617345,0,0,1,5,0,14,3,4,2,7,7,2,5,2,0
"TEMOZOLOMIDE","0.0",44.5409,76.96785318779362,8,1,1,20,2,0,0,0,1.7322107424620343,1.0549410543617224,3.6785687888028518,2.646659855629771,1.7322107424620343,1.0549410543617224,2.6198926454093896,0.969381543705868,0,4.794537184071822,0,4.681802935145185,5.098681808301038,5.213385095654868,5.907179729351506,0,1,2,0,3,2,5,1,4,0,1,4,1,1
"TESTOLACTONE","0.0",83.00600000000004,131.3422678380775,3,0,0,46,0,0,2,3,6.895695189088334,5.715338334685369,8.583952431668015,7.967572518554805,6.895695189088334,5.715338334685369,4.560724278118122,1.8686566715296342,0,14.325937321943691,0,0,0,18.572861836593773,0,0,0,2,1,2,2,2,0,4,0,0,10,4,3
"PENICILLIN V","0.0",87.59550000000004,142.8943131174155,7,2,2,42,1,1,0,0,5.676086037741569,4.651514288183822,7.5108803609730845,6.245058385963449,4.104555442894087,3.026117698574493,6.0100027114767025,2.8151897888677238,11.761884949391115,24.22700190085622,0,0,11.761884949391115,18.19910120538483,5.907179729351506,0,1,5,0,9,3,3,2,6,3,2,6,1,1
"vismodegib","0.0",107.198,166.4384388605665,5,1,1,41,3,2,0,0,5.530939693748503,3.6230299463551856,7.774342952787411,5.77754563286399,3.7784038702836638,2.4304484975999068,7.680498332842168,4.471415304630861,23.20187978046503,13.212334168400758,0,0,0,29.268246848926644,5.907179729351506,0,1,3,0,8,3,9,1,6,1,1,11,3,0
"ROSUVASTATIN","0.0",122.67920000000004,191.84786395020558,9,3,0,61,2,1,0,0,5.974068274790629,3.423675267881729,10.170897294129276,7.977063736508542,4.8158328055999595,3.0453929602700787,10.81866448044315,7.307118876067872,0,32.9223314005977,0,0,0,25.99951461304901,0,1,1,6,0,18,4,6,3,11,4,5,6,2,0
"FORMOTEROL","0.0",96.91600000000003,147.00635132749602,6,4,1,49,2,2,0,0,3.9804158863527546,2.5580261804699442,8.106260495435293,5.9160676217849755,3.9804158863527546,2.5580261804699442,9.054618196642002,5.478062757805403,0,19.74445492755328,0,0,0,18.19910120538483,0,0,2,4,0,13,1,6,4,5,6,2,7,2,0
